symbol,year,open
AFL,2010,50.6652777777778
AFL,2011,47.0000397619048
AFL,2012,46.340559848
AFL,2013,57.9088490912698
AFL,2014,61.4466269880952
AFL,2015,61.7382935873016
AFL,2016,67.7553175793651
CA,2010,21.5984920992064
CA,2011,22.3740873214286
CA,2012,25.20312008
CA,2013,28.3107539325397
CA,2014,29.9783730436508
CA,2015,29.8046031190476
CA,2016,31.4156349047619
COG,2010,35.0864681865079
COG,2011,61.2900395992064
COG,2012,41.550759992
COG,2013,54.4058730277778
COG,2014,34.4097618412698
COG,2015,26.8096031468254
COG,2016,22.9114285753968
CPB,2010,35.281508
CPB,2011,33.3026984246032
CPB,2012,33.77955986
CPB,2013,42.6847620873016
CPB,2014,43.8480156944444
CPB,2015,48.3012301150794
CPB,2016,59.4616270992063
DISCA,2010,37.4121036111111
DISCA,2011,40.9085321150794
DISCA,2012,52.582800396
DISCA,2013,79.0630163571429
DISCA,2014,62.7150400912698
DISCA,2015,30.7223412698413
DISCA,2016,26.6949603730159
EXPD,2010,41.8737301388889
EXPD,2011,47.5982935515873
EXPD,2012,39.660360068
EXPD,2013,40.7961506785714
EXPD,2014,42.4136111071429
EXPD,2015,47.1950793492064
EXPD,2016,49.2531746547619
FAST,2010,50.4569046865079
FAST,2011,46.0953571666667
FAST,2012,45.090799872
FAST,2013,48.5863888492064
FAST,2014,46.6842062380952
FAST,2015,41.0567857301587
FAST,2016,43.8522221150794
HRB,2010,15.757500015873
HRB,2011,15.0481745912698
HRB,2012,16.59888004
HRB,2013,27.5324603293651
HRB,2014,31.110912765873
HRB,2015,33.5801983809524
HRB,2016,24.9105952103175
HSIC,2010,56.8752380674603
HSIC,2011,66.8151586825397
HSIC,2012,75.921600188
HSIC,2013,99.097857031746
HSIC,2014,119.614484238095
HSIC,2015,143.466071615079
HSIC,2016,163.836587079365
MLM,2010,85.0015477103175
MLM,2011,78.7441668571429
MLM,2012,81.663960056
MLM,2013,100.431865011905
MLM,2014,121.992142492063
MLM,2015,147.088888948413
MLM,2016,178.337381130952